,year,round,team1,team2,hscore,ascore
339,2019,16,Collingwood,Hawthorn,67,63
340,2019,16,St Kilda,North Melbourne,112,73
341,2019,16,Geelong,Western Bulldogs,71,55
342,2019,17,North Melbourne,Essendon,86,81
343,2019,17,St Kilda,Geelong,84,57
344,2019,17,Adelaide,Gold Coast,56,151
345,2019,17,Fremantle,Hawthorn,84,53
346,2019,17,Brisbane Lions,Port Adelaide,49,97
347,2019,17,Greater Western Sydney,Richmond,94,67
348,2019,17,Carlton,Sydney,62,69
349,2019,17,Collingwood,West Coast,77,78
350,2019,17,Melbourne,Western Bulldogs,74,66
351,2019,18,Essendon,Adelaide,75,96
352,2019,18,North Melbourne,Brisbane Lions,87,75
353,2019,18,Gold Coast,Carlton,99,75
354,2019,18,Sydney,Fremantle,52,51
355,2019,18,Hawthorn,Geelong,61,85
356,2019,18,Collingwood,Greater Western Sydney,122,75
357,2019,18,West Coast,Melbourne,78,91
358,2019,18,Port Adelaide,Richmond,101,63
359,2019,18,Western Bulldogs,St Kilda,116,89
360,2019,19,Adelaide,Carlton,87,60
361,2019,19,Richmond,Collingwood,66,98
362,2019,19,Essendon,Gold Coast,96,106
363,2019,19,Brisbane Lions,Hawthorn,60,87
364,2019,19,Greater Western Sydney,Port Adelaide,55,56
365,2019,19,Melbourne,St Kilda,104,85
366,2019,19,Geelong,Sydney,80,107
367,2019,19,North Melbourne,West Coast,121,72
368,2019,19,Fremantle,Western Bulldogs,113,66
369,2019,20,St Kilda,Adelaide,92,70
370,2019,20,Western Bulldogs,Brisbane Lions,98,80
371,2019,20,West Coast,Carlton,75,99
372,2019,20,Gold Coast,Collingwood,120,51
373,2019,20,Port Adelaide,Essendon,67,126
374,2019,20,Geelong,Fremantle,95,61
375,2019,20,Sydney,Greater Western Sydney,83,81
376,2019,20,Richmond,Melbourne,60,93
377,2019,20,Hawthorn,North Melbourne,86,64
378,2019,21,Gold Coast,Brisbane Lions,144,53
379,2019,21,Western Bulldogs,Essendon,33,137
380,2019,21,North Melbourne,Geelong,69,14
381,2019,21,Hawthorn,Greater Western Sydney,29,85
382,2019,21,Collingwood,Melbourne,53,70
383,2019,21,Sydney,Port Adelaide,103,56
384,2019,21,Carlton,Richmond,73,45
385,2019,21,Fremantle,St Kilda,72,69
386,2019,21,Adelaide,West Coast,90,80
387,2019,22,Collingwood,Adelaide,48,114
388,2019,22,Geelong,Brisbane Lions,75,74
389,2019,22,St Kilda,Carlton,78,68
390,2019,22,Essendon,Fremantle,55,87
391,2019,22,Western Bulldogs,Greater Western Sydney,65,126
392,2019,22,Gold Coast,Hawthorn,118,48
393,2019,22,Sydney,Melbourne,42,95
394,2019,22,Port Adelaide,North Melbourne,144,58
395,2019,22,West Coast,Richmond,88,82
396,2019,23,Essendon,Collingwood,76,65
397,2019,23,Carlton,Geelong,129,61
398,2019,23,Greater Western Sydney,Gold Coast,55,127
399,2019,23,Melbourne,North Melbourne,88,83
400,2019,23,Fremantle,Port Adelaide,110,67
401,2019,23,Brisbane Lions,Richmond,82,55
402,2019,23,St Kilda,Sydney,109,64
403,2019,23,Hawthorn,West Coast,67,105
404,2019,23,Adelaide,Western Bulldogs,121,87
